商品ID,商品名,ブランド,カテゴリ,価格,定価,在庫,販売開始日,初回検出日,キャッチコピー,詳細,商品情報,掲載中,URL
8433321,極旨生マッコリ プレミアム 善山ベーシック 700ml,善山,梅酒・果実酒,3900,3900,True,2026-06-24,2026-07-09,創業500年。韓国プレミアムマッコリの名門が、日本初上陸。,慶尚北道・善山で500年の歴史を紡いできた醸造蔵が手掛ける、もち米100%の本格生マッコリ。 韓国国内で「新しいマッコリの基準」と評される一本が、ついに日本で初めてご紹介できることになりました。  善山産もち米だけで醸した、アルコール度数6%の軽やかなボディ。 グラスに注ぐと、梨やチャメ（韓国メロン）を思わせるフルーティーな香りが広がり、心地よい酸味がすっきりと余韻を締めくくります。 シャンパングラスでそのまま、または氷を浮かべてオンザロックで。ヒラメのセビーチェやピリ辛の和え物、軽めのナッツ類と好相性です。,【商品情報】 ・商品名: 善山（ソンサン）ベーシック 生マッコリ ・品目: その他の醸造酒 ・アルコール分: 6% ・原材料: 米（韓国産）、麹（小麦）／酵素（一部に小麦を含む） ・内容量: 700ml ・原産国: 韓国 ・賞味期限: ラベル枠外に記載（製造日から90日) ・保存方法: 10℃以下で冷蔵保管してください。 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8433321
8418764,【美酒館キュレーションセット】 究極の飲み比べ三部作|ブッカーズ2025 × カバラン ソリスト × オクトモア16.1 ウイスキー3本セット,,洋酒,99000,99000,True,2026-05-28,2026-07-09,炎・果実・煙 ― 世界三蒸溜所が紡ぐ、究極の飲み比べ三部作｜ ブッカーズ2025 × カバラン ソリスト × オクトモア16.1,ひと口目はケンタッキーの陽射し。 ふた口目は亜熱帯の果実。 三口目はアイラの霧深い海。 ウイスキーの世界には、土地ごとに違う「物語」があります。 このセットは、その物語を一夜で旅するためのもの。 加水も妥協もしない、三本のカスクストレングス級原酒。 本物を知る方への、特別な贈り物です。  ジム・ビーム7代目マスターディスティラー、ブッカー・ノウの最高傑作。 6〜8年熟成樽から厳選した原酒を、加水も濾過もせずそのままボトリング。 バニラ、キャラメル、オークの香りに凝縮された果実の甘みとタンニンのコクが重なります。 商品名：ブッカーズ 2025 内容量：750ml アルコール度数：63度 仕様：木箱入り 種類：バーボンウイスキー 割水や濾過を一切行わず、そのままボトリングすることで、 バーボン本来の力強さと複雑な香味を最大限に引き出しています。 製造年ごとに度数や味わいが微妙に異なり、その個性の違いも魅力のひとつです。  世界的評価を獲得し続ける台湾・宜蘭のカバラン蒸溜所。 長年使用したスペイン産オロロソシェリー樽で熟成、加水なしのカスクストレングスでボトリング。 ドライフルーツ、アーモンド、ナッツの濃密な甘みと、ラテンの情熱を感じる深い余韻が広がります。 商品名：カバラン ソリスト オロロソシェリー カスクストレングス 内容量：700ml アルコール度数：約53〜56度（樽ごとに個体差あり） 仕様：ギフトBOX入り 種類：シングルモルトウイスキー  「世界一ピーティー」と称されるブルックラディ蒸溜所の象徴。 スコットランド産コンチェルト種大麦100%、フェノール値101.4ppmの驚異的な数値ながら、ファーストフィルバーボン樽で5年熟成。塩キャラメル、メロン、アプリコットの風味が、長いスモークの余韻と共に広がります。 商品名：オクトモア 16.1 スコティッシュバーレイ 内容量：700ml アルコール度数：59.3度 産地：アイラ島（スコットランド） 種類：シングルモルトスコッチウイスキー  1杯目 ▶ ブッカーズで甘やかに口を開き 2杯目 ▶ カバランで濃密なシェリーの深みへ 3杯目 ▶ オクトモアの煙で夜を締めくくる  ・この商品はお酒です。２０歳未満の飲酒は法律で禁止されています。 ・２０歳未満の者への酒類の販売はいたしません。,,True,https://mall.line.me/sb/d84e5e64/8418764
8407242,【極上マッコリ】NERD12（ナード） プレミアム贈り物 （750ml）,NERD,梅酒・果実酒,5500,5500,True,2026-05-02,2026-07-09,世界的VIPも魅了された、韓国発・極上マッコリ 特別な日を彩るプレミアム濁り酒「NERD（ナード）12」,大切な方への贈り物に、世界的なエグゼクティブ達も絶賛した至高の一本はいかがですか？ 「NERD 12」は、世界的なIT企業のCEOがサインを残して絶賛し、国際会議（APEC）の公式VIPギフトとしても選ばれた、今最も注目を集めている韓国発のプレミアム濁り酒（マッコリ）です。 洗練されたパッケージと、人工甘味料を一切使用しないこだわりの製法で、お酒を愛する方への「絶対に外さない」ワンランク上の特別なギフトとして大活躍します。  一口飲めば、お米本来の香ばしさと、果実を思わせるような濃厚で上品な甘みが口いっぱいに広がります。 アルコール度数は、濁り酒としては少し高めの「12度」。実はこれこそが美味しさの秘密です。グラスに氷を浮かべる「オン・ザ・ロック」スタイルで飲むことで、氷がゆっくりと溶け出し、最後の一滴まで完璧なバランスの味わいをお楽しみいただけます。 ワイングラスに注げば、その洗練された香りと滑らかなボディ感をより一層深くご堪能いただけます。  ・この商品はお酒です。20歳未満の飲酒は法律で禁止されています。 ・20歳未満の者への酒類の販売はいたしません。,■商品名：NERD 12（ナード12） ■容量：750ml ■アルコール分：12% ■原材料名：精製水、もち米（韓国産）、麹（小麦含む）、酵母、精製酵素剤 ■保存方法：10℃以下で冷蔵保管してください。 ■賞味期限：ラベルに記載（製造日より6ヶ月以内） ■製造元：ナードブルワリー（韓国・尚州酒造）,True,https://mall.line.me/sb/d84e5e64/8407242
8403627,高級マッコリ 福順都家 スーパードライ 935ml【韓国 ボクソンドガ】誕生日,福順都家,梅酒・果実酒,3800,3800,True,2026-04-29,2026-07-09,韓国を代表するプレミアムマッコリ、福順都家（ボクスンドガ） 100％無添加・ドライタイプの本格マッコリ、スーパードライ,甘くない、大人のマッコリ。 甘さを極限まで控えた大人のためのマッコリです。 精製水・米・酵母だけを使った100%無添加製法で、ドライ系のお酒がお好きな方に特におすすめ。 発酵が生み出す果実のような自然な香りと、キリッとした酸味が特徴の本格派です。  ・本商品は酒類です。 ・20歳未満の方の飲酒は法律で禁止されています。 ・20歳未満の方への酒類の販売はいたしません。 ・妊娠中・授乳期の飲酒はお控えください。 ・酒類の特性上、お客様都合による返品・交換はお受けできません。 ・商品破損・誤配送の場合は、商品到着後速やかにご連絡ください。  福順都家（ボクソンドガ）は、韓国・蔚山の自然豊かな土地で生まれたマッコリの醸造所です。 米が育ち、酒が息づく場所で、人と自然の調和を大切にしながら酒造りを続けています。 良質な国産米を厳選し、昔ながらの製法を守りながら、時間と手間を惜しまず仕込みます。 発酵の様子に耳を澄ませ、酒が生きていることを感じ取りながら、ひとつひとつ丁寧に向き合っています。 福順都家が目指すのは、派手さではなく、飲む人の心に静かに残る味わい。 受け継がれてきた知恵と真心を大切に、今日も変わらぬ姿勢でマッコリを造り続けています。,・酒類区分：濁酒（マッコリ） ・商品名：福順都家 スーパードライマッコリ ・アルコール分：6.5％ ・内容量：935ml ・原材料：精製水 、米(韓国産) 、 小麦酵母 ・原産国：韓国 ・賞味期限：容器に記載（製造日から3ヶ月) ・保存方法：10℃以下で冷蔵保存してください。,True,https://mall.line.me/sb/d84e5e64/8403627
8394511,【最高峰バーボン】ブッカーズ Booker's 2025 63度 木箱入り 750ml|数量限定・ギフト向けプレミアムウイスキー,Booker's,洋酒,19800,19800,True,2026-04-17,2026-07-09,最高峰バーボン「ブッカーズ」数量限定,ブッカーズは、ブッカー・ノウの最高傑作とされるプレミアムバーボン。 もともとはビーム家のバーベキューパーティーで賓客のみに振る舞われていた特別な原酒で、その評価の高さから製品化された逸品です。 現在もその思想を受け継ぎ、さらなる高みを目指して造り続けられています。  6～8年熟成の樽の中から、最高峰にふさわしい原酒のみを厳選してヴァッティング。 割水や濾過を一切行わず、そのままボトリングすることで、 バーボン本来の力強さと複雑な香味を最大限に引き出しています。 製造年ごとに度数や味わいが微妙に異なり、その個性の違いも魅力のひとつです。  高いアルコール度数を感じさせない、しなやかな口当たり。 深い熟成感がありながらも重すぎない、絶妙なバランスを実現しています。 バニラやキャラメル、オークの厚みのある香りに、 凝縮されたフルーツの甘みとタンニンのコク。 フルーティーさの中にほのかな苦みが重なり、 リッチで長く続く余韻を楽しめます。 色合いは深く濃い琥珀色。 香り・味わい・余韻すべてにおいて完成度の高い1本です。  ・この商品はお酒です。２０歳未満の飲酒は法律で禁止されています。 ・２０歳未満の者への酒類の販売はいたしません。,商品名：ブッカーズ 2025 内容量：750ml アルコール度数：63度 仕様：木箱入り 種類：バーボンウイスキー 本商品は数量限定での販売となります。 また、製造年ごとに度数や香味に個体差がございます。,True,https://mall.line.me/sb/d84e5e64/8394511
8392988,【新感覚クラフト酒】ハッピーどぶろく ホップ香る濁り酒 8% 480ml 誕生日,ハッピーどぶろく,梅酒・果実酒,3800,3800,True,2026-04-16,2026-07-09,ビール好きも唸る！新感覚の「ホップ香る濁り酒」 心躍る爽やかさ。「something happy うきうきホップ」,「いつもとはちょっと違う、特別なお酒をプレゼントしたい」 そんな時にぴったりなのが、伝統的な濁り酒（どぶろく）に、クラフトビールの魂である「ホップ」を掛け合わせた、新感覚のクラフトサケです。 グラスに注いだ瞬間、アメリカ産ホップ「TALUS（タラス）」が織りなす、爽やかなシトラスの香りがフワッと広がります。 ビール好きの方や、新しい味わいを探求するのが好きな方へのセンスの光るプチギフトとして、心踊る（うきうきする）ような晩酌タイムをお届けします。  一口飲んで驚くのは、そのフルーティーな味わい。 お米と糀（こうじ）が持つ自然な甘みに、酵母が引き出すクエン酸の爽やかな酸味、そしてホップ由来の柑橘系の香りが完璧に調和し、まるで「搾りたてのグレープフルーツ」のようなジューシーな味わいが口いっぱいに広がります。 アルコール度数は8%。重たすぎず、軽快で弾けるような口当たりは、食前酒としてはもちろん、スパイシーな料理や揚げ物との相性も抜群です。,■品目：その他の醸造酒 ■商品名：something happy うきうきホップ ■容量：480ml ■アルコール分：8% ■原材料名：米麹（国産米）、ホップ（アメリカ産） ■製造元：ハッピー太郎醸造所（滋賀県） ■賞味期限：ラベルに記載（製造日より１年） ※【保管・開栓のご注意】生きたお酒のため、必ず「要冷蔵（5℃以下）」で保管してください。炭酸ガスが含まれているため、開栓時は噴き出しにご注意いただき、ゆっくりとお開けください。 ※20歳未満の飲酒は法律で禁止されています。,True,https://mall.line.me/sb/d84e5e64/8392988
8392987,【極上の柑橘どぶろく】ハッピーどぶろく something happy 菅浦の八朔 480ml （キツネ柄ラベル） 低アルコール6%,ハッピーどぶろく,梅酒・果実酒,4200,4200,True,2026-04-16,2026-07-09,爽やかな柑橘香る、心弾む「果実の濁り酒」 甘酸っぱさとほろ苦さが絶妙な「something happy 菅浦の八朔」,お酒は好きだけど、強いのは少し苦手…」 そんな方への贈り物にぴったりなのが、アルコール度数6%で軽やかに楽しめる、フルーツベースの特別などぶろくです。 滋賀県・奥びわ湖の隠れ里「菅浦」で太陽をたっぷり浴びて育った柑橘「八朔（はっさく）」を贅沢に使用。 グラスに注ぐと、春の訪れを感じさせるような爽やかな香りが広がり、一口飲めば、糀（こうじ）の優しい甘みと八朔特有の心地よいほろ苦さが、口いっぱいに広がります。  八朔の味わいを語る上で欠かせない「ほのかな苦味」。それは決して嫌なものではなく、後味をスッキリと引き締め、気分を晴れやかにリフレッシュさせてくれる魔法のエッセンスです。 過疎や獣害にも負けず、地元の人々の手によって大切に育てられた「ど根性の八朔」。その生命力と愛情が、この一本にギュッと詰まっています。 まるで搾りたての果実をかじったような瑞々しさと、濁り酒ならではのまろやかな旨味。他では味わえない、特別なマリアージュをお楽しみください。,■品目：その他の醸造酒 ■商品名：something happy 菅浦の八朔 ■容量：480ml ■アルコール分：6% ■原材料：米麹（国産米）、八朔（国産・滋賀県産） ■製造元：ハッピー太郎醸造所（滋賀県） ■賞味期限：ラベルに記載（製造日より１年） ※【保管・開栓のご注意】生きたお酒のため、必ず「要冷蔵（5℃以下）」で保管してください。開栓時は噴き出しにご注意いただき、ゆっくりとお開けください。 ※ 20歳未満の飲酒は法律で禁止されています。,True,https://mall.line.me/sb/d84e5e64/8392987
8392962,【癒しと養生のお酒】ハッピーどぶろく 穂の恵み 480ml （キツネ柄ラベル） 誕生日,ハッピーどぶろく,梅酒・果実酒,3500,3500,True,2026-04-15,2026-07-09,自然の恵みと癒しを贈る、極上の濁り酒 滋賀の豊かな自然が育んだ「ハッピーどぶろく 穂の恵み」,切な方へ、心と体を労わる「癒しの一杯」を贈りませんか？ 滋賀県湖北の自然豊かな田んぼで育ったお米（穂の恵み）を使い、乳酸・酵素剤不使用で丁寧に醸された特別などぶろくです。 田んぼの護り神である「狐（キツネ）」が描かれた美しい切り絵ラベルは、お酒好きな方へのセンスの良い贈り物にぴったり。自然の循環と生命力にあふれた、優しい味わいをお届けします。  キリッと冷やして、喉を通る清々しさと華やかな香りを楽しむのはもちろん、一番のおすすめは「燗（かん）」です。 思い切って60℃くらいまで温めると、味噌糀の魅力がふわりと開き、まるでお腹の底から温まる「大人のお粥」のようなホッとする味わいに変化します。 日々の疲れを優しく癒す、養生のサケとしての本領を発揮。一口飲むごとにじんわりと幸せが広がります。,■品目：その他の醸造酒 ■商品名：ハッピーどぶろく 穂の恵み ■容量：480ml（アルコール分：12%） ■原材料：米、米麹（すべて国産） ■製造元：ハッピー太郎醸造所（滋賀県） ■賞味期限：ラベルに記載（製造年月より１年） ※【ご注意】生きたお酒のため、開栓時は噴き出しにご注意いただき、ゆっくりお開けください。到着後は要冷蔵（5℃以下）で保管をお願いいたします。 ※20歳未満の飲酒は法律で禁止されています。,True,https://mall.line.me/sb/d84e5e64/8392962
8390169,ソンシギョン監修 | 韓国プレミアム生マッコリ「璄濁酒」ロゼ 12度 （ギョンダクシュロゼ 500ml）,ギョン,梅酒・果実酒,3990,3990,True,2026-04-12,2026-07-09,【LINEギフト特別発売・販売商品】,韓国の国民的歌手として愛されるソン・シギョンが、音楽制作への情熱と同じこだわりを込めてプロデュースした「璄濁酒（ギョンダクシュ）」。韓国現地で発売と同時に完売続出となった話題作の第二弾が、ついに日本初上陸。韓国産米100%、人工甘味料無添加で約4週間の低温熟成を経て完成する、大人のための本格派生マッコリです。  色素・果実・香料を一切使わず、韓国産の紅麹米だけで淡い花桜色に仕上げた「璄濁酒ロゼ」。一口目に広がるのは、熟したメロンや桃を思わせる芳醇なフルーティーさ。続いてヨーグルトのような柔らかな酸味とコクが口の中を満たし、フィニッシュには璄濁酒ならではのドライで上品な余韻が残ります。オリジナルの重厚なボディ感はそのままに、心地よい酸味が加わった華やかな一杯です。  通常のマッコリよりも高いアルコール度数12度は、原酒に近い濃厚さの証拠です。厳選された韓国産米のみを使用し、伝統的な製法で丁寧に醸造。氷を加えても薄まりにくく、最後の一滴まで深い味わいが続きます。冷蔵庫でよく冷やし、軽く振ってから開栓してお楽しみください。  ただのお酒ではない、ストーリーと話題性を持った「璄濁酒ロゼ」は、韓国ドラマやK-POPがお好きな方、本格的なお酒を楽しむ方への贈り物として最適です。花桜色に輝く洗練されたボトルデザインと確かな品質で、誕生日や記念日、「お疲れ様」の気持ちを込めた特別な一本として喜ばれます。,・この商品はお酒です。２０歳未満の飲酒は法律で禁止されています。 ・２０歳未満の者への酒類の販売はいたしません。,True,https://mall.line.me/sb/d84e5e64/8390169
8390129,ソンシギョン監修 | 韓国プレミアム生マッコリ「璄濁酒」12度 紅白セット（ギョンダクシュ オリジナル・ロゼ 各 500ml）,ギョン,梅酒・果実酒,6300,6300,True,2026-04-12,2026-07-09,【LINEギフト特別発売・販売商品】,韓国の国民的歌手ソン・シギョンが、音楽制作への情熱と同じこだわりを込めてプロデュースした「璄濁酒（ギョンダクシュ）」。韓国現地で完売続出の話題作に加え、色素・果実・香料を一切使わず紅麹米だけで淡い花桜色に仕上げた新作ロゼが日本初上陸。韓国産米100%、人工甘味料無添加の本格派生マッコリ、待望の紅白2本セットです。  璄濁酒オリジナルは、芳醇な果実香にクリーミーな酸味、ドライで上品な余韻。璄濁酒ロゼは、紅麹米由来の花桜色と、心地よい酸味を加えた軽やかな仕上がり。そのまま楽しめる2本を1:1でブレンドすると、深みと柔らかさが調和し、さらに完璧な一杯が生まれます。  通常のマッコリを超えるアルコール度数12度は、原酒に近い濃厚さの証。厳選した韓国産米のみで伝統製法により丁寧に醸造。氷を加えても薄まりにくく、最後の一滴まで深い味わいが続きます。よく冷やし、軽く振ってから開栓してお楽しみください。  ストーリーと話題性を持った「璄濁酒」紅白セットは、韓国カルチャー好きやお酒通への贈り物に最適です。紅白の美しいコントラストが映える2本セットは、誕生日や記念日、お祝いの席にぴったり。大切な方の晩酌時間を、より華やかで印象深いものに変える逸品です。,・この商品はお酒です。２０歳未満の飲酒は法律で禁止されています。 ・２０歳未満の者への酒類の販売はいたしません。,True,https://mall.line.me/sb/d84e5e64/8390129
8385683,【英国発・極上ラム酒】ベックフォーズ ミニボトル2種飲み比べセット （特製麻袋入り、各50ml） 誕生日 プチギフト,Beckford's,洋酒,2900,2900,True,2026-04-02,2026-07-09,【英国発・極上の味わい。大人のためのプレミアム・ラム酒ギフト】 アンティークな小瓶と特製麻袋に包まれた、魅惑の2種飲み比べセット,イギリスから届いた、宝物のような「ベックフォーズ（Beckford's）」のミニチュアラム2本セットです。 最高級の素材で造られた極上のフレーバード・ラム（各50ml）を、ブランドロゴが入ったおしゃれな特製麻袋（ギフトバッグ）におさめました。 箱を開けた瞬間、その洗練されたヴィンテージデザインのパッケージに思わず笑顔がこぼれるはず。お酒やスイーツが好きな方への、センスが光る特別な贈り物として大活躍します。  飲んだ瞬間、エメラルドグリーンの海と白砂のビーチが目の前に広がるような、とても愛らしいスパイスド・ラムです。 濃緑の熱帯樹の合間から降り注ぐ陽光や、カラフルな花々の光景が目に浮かぶ、ベックフォーズのエキゾチックな世界観を代表する一本。 ストレートやロックはもちろん、パイナップルジュースと合わせて極上の「ピニャコラーダ」にするのもおすすめです。  ラムとトフィー（キャラメル）のお菓子の組み合わせは、古くから英国人の大のお気に入りです。 キャラメルの原料（砂糖）も、ラム酒の原料（糖蜜）も、元をたどれば同じ「サトウキビ」。だからこそ「なぜ今まで存在しなかった！」と思わせるほどに相性抜群。 ホワイトラムに塩キャラメルの風味と、ジューシーなオレンジのアクセントを添えました。アルコール度数25%とは思えないほどスムーズな飲み口は、一度飲むと癖になる“絶対においしい！”キャラメル・ラムです。  ・この商品はお酒です。２０歳未満の飲酒は法律で禁止されています。 ・２０歳未満の者への酒類の販売はいたしません。,"■商品名：ベックフォーズ ラム小瓶2本セット（特製麻袋入り） ■価格：2,900円 (税込) ■セット内容・容量：各50ml × 2本 ■品目：リキュール（ラム） ■アルコール分：25% ■原産国：イギリス ■原材料名： 【ホワイト・パール・ラム＆ココナッツ】ラム酒／香料 【ラム＆キャラメル】ラム酒／香料、カラメル色素",True,https://mall.line.me/sb/d84e5e64/8385683
8373998,ホリデーウォッカ ミニ2本 & バック付き ギフトセット | Van Gogh VODKA（ヴァンゴッホウォッカ、各50ml）,VanGoghVODKA,洋酒,2900,2900,True,2026-03-11,2026-07-09,ホリデーの贈り物用にのフレーヴァーウォッカのミニ・ボトル・特別バック付きセット,チョコレート・フレーヴァーのリッチダーク・チョコレート・ウォッカは世界最高ランクの五つ星評価。 そしてもうひとつ五つ星評価のダブルエスプレッソ・ウォッカにバナナ・ウォッカと、人気のウォッカをセットにしました。 ・セット構成 【ダブルエスプレッソ・ウォッカ】丹念に作られた卓越した味わいのウォッカ。カフェインを多く含み強烈かつ洗練されたフレーバー。 【メロン・ウォッカ】ミニボトル一本あたりに高級赤肉系のカンタロープ種マスク・メロンを1.5個も贅沢に使用したメロンそのものの味と香りのメロン。  ・この商品はお酒です。２０歳未満の飲酒は法律で禁止されています。 ・２０歳未満の者への酒類の販売はいたしません。  Van Gogh VODKAは、196年にわたり蒸留酒を造り続け、オランダのベアトリクス女王より“ロイヤル”の称号を授かった世界の名門蒸留所が並ぶスキーダム市のロイヤルディルクズワーヘル蒸留所で小バッチ製造の元祖クラフトウォッカです。 東京・銀座および浅草では、 Van Gogh VODKAの世界観を体感いただける 「ヴァン・ゴッホ・ウォッカ銀座 Bar」にて、 ウォッカやオリジナルカクテルをご提供しております。 機会がございましたら、ぜひご来店ください。,・容量：50ml × 2 ・アルコール度数：40度/35度 ・賞味期限：なし ・製造元/原産国：オランダ,True,https://mall.line.me/sb/d84e5e64/8373998
8366314,高級マッコリ3本飲み比べセット 福順都家マッコリ（白・ピンク・スーパードライ 各935ml）【韓国 ボクソンドガ】誕生日,福順都家,梅酒・果実酒,8800,8800,True,2026-02-25,2026-07-09,福順都家の人気マッコリ3種を楽しむセット,韓国を代表するプレミアムマッコリブランド 福順都家（ボクスンドガ）の定番商品を詰め合わせた3本セットです。 ＜セット内容＞ ・福順都家 手造りマッコリ（白）935ml × 1本 ・福順都家 赤米マッコリ（ピンク）935ml × 1本 ・福順都家 スーパードライマッコリ 935ml × 1本  良質な麹と韓国産米を使用し、伝統製法で丁寧に発酵。 粒子がきめ細かく、なめらかな口当たりが特長です。 穀物由来のやさしい旨味と、すっきりした後味が楽しめます。  韓国産米に赤米（紅麹米）を加えて発酵。 淡い赤色と穏やかな穀物の香りが特長です。 軽やかな飲み口で、白とは異なる風味を楽しめます。  甘くない、大人のマッコリ。 甘さを極限まで控えた大人のためのマッコリです。 精製水・米・酵母だけを使った100%無添加製法で、ドライ系のお酒がお好きな方に特におすすめ。 発酵が生み出す果実のような自然な香りと、キリッとした酸味が特徴の本格派です。  ・20歳未満の方の飲酒は法律で禁止されています。 ・20歳未満の方への酒類の販売はいたしません。  福順都家は、韓国・蔚山の自然豊かな土地で生まれたマッコリの醸造所です。 米が育ち、酒が息づく場所で、人と自然の調和を大切にしながら酒造りを続けています。 良質な国産米を厳選し、昔ながらの製法を守りながら、時間と手間を惜しまず仕込みます。 発酵の様子に耳を澄ませ、酒が生きていることを感じ取りながら、ひとつひとつ丁寧に向き合っています。,・酒類区分：濁酒（マッコリ） ・アルコール分：各 6.5％ ・内容量：各 935ml ・原材料 - 手造りマッコリ（白）：精製水、米（韓国産）、麹（小麦）、水飴、砂糖、アスパルテーム（甘味料・フェニルアラニン含有） - 赤米マッコリ（赤）：精製水、米（韓国産）、麹（小麦）、赤米（紅麹米）、水飴、砂糖、スクラロース（甘味料） - スーパードライマッコリ：精製水 、米(韓国産) 、 小麦酵母 ・原産国：韓国 ・賞味期限：容器に記載（製造日から3ヶ月) ・保存方法：10℃以下で冷蔵保存してください。,True,https://mall.line.me/sb/d84e5e64/8366314
8366310,【無添加生】メリョマッコリ プレミアム韓国マッコリ 紅白2本セット （各 650ml）,魅了マッコリ,梅酒・果実酒,4200,4200,True,2026-02-25,2026-07-09,注意事項,・この商品はお酒です。２０歳未満の飲酒は法律で禁止されています。 ・２０歳未満の者への酒類の販売はいたしません。,,True,https://mall.line.me/sb/d84e5e64/8366310
8364553,【出雲・縁結び】生マッコリ 2本ギフトセット（OMONA 雨の日+出雲）,OMONA,梅酒・果実酒,7777,7777,True,2026-02-18,2026-07-09,【出雲で結ぶ、二つのマッコリ】,出雲の地で醸された 「OMONA生マッコリ雨の日（500ml）」と 「ナチュラルマッコリ出雲（330ml）」の2本セットです。 縁結びの地として知られる出雲。 大切な人との時間や、新しい出会いに寄り添う一本としてお楽しみください。  ・20歳未満の方の飲酒は法律で禁止されています。 ・20歳未満の方への酒類の販売はいたしません。,自然由来の炭酸感と、果実を思わせるやわらかな酸味。 軽やかで飲みやすいナチュラルマッコリです。 出雲の新しいご縁の場に、気軽に楽しめる一本。 【商品情報】 品目：その他の醸造酒 原材料名：もち米（島根県雲南市産）、小麦麹（韓国産ヌルク）（小麦を含む） 内容量：330ml アルコール分：9％ 保存方法：要冷蔵 製造者：Misfits Japan合同会社 製造場：生マッコリ工房 OMONA YANGJO 製造年月：ラベル記載,True,https://mall.line.me/sb/d84e5e64/8364553
8364558,きぬさら 日本のまっこり 12本セット （500ml x 12本）,きぬさら,梅酒・果実酒,13200,13200,True,2026-02-18,2026-07-09,絹のような口どけ「きぬさら」日本のまっこり 500ml x 12本セット 初めての方にも飲みやすい、新感覚マッコリ,「きぬさら」の名前の通り、絹のように滑らかな喉ごしと口の中でさらりとほどける上品な後味が特徴の日本製マッコリです。乳酸菌由来のすっきりとした酸味で、従来のマッコリとは一線を画す洗練された味わい。マッコリが初めての方にも飲みやすく、大切な方への特別なギフトとしておすすめです。  500mlの1本あたり435億個の乳酸菌を含有しています（製造時・自社調べ）。この乳酸菌が醸し出す自然な酸味とまろやかな甘みのバランスが絶妙で、すっきりとした飲み心地を実現しました。着色料・保存料は一切使用せず、発酵由来の自然な風味をそのままお楽しみいただけます。  マッコリ研究の第一人者のもとで韓国にて4年間修行を積んだ日本人杜氏が、さらに5年の研究を重ねて完成させました。 静岡の清らかな水と愛知をはじめとした厳選国産米を使用し、本場の伝統技術を日本の素材と融合。 和食をはじめ様々なお料理との相性を追求した、こだわりの純国産マッコリです。すっきりとした酸味と微炭酸が、刺身、天ぷら、煮物などの和食はもちろん、韓国料理や中華料理とも好相性。幅広い料理シーンでお楽しみいただけます。 よく冷やしてから、開栓前にボトルを軽く上下に振ってお召し上がりください。,・名称：きぬさら 日本のまっこり ・種類：リキュール（発泡性①） ・原材料：米（国産米）・麦麹・米麹（国産）・甘味料（スクラロース）・炭酸ガス含有 ・内容量：500ml x 12本 ・アルコール度数：6度以上7度未満 ・保存方法：冷暗所保存 ・賞味期限：10ヶ月,True,https://mall.line.me/sb/d84e5e64/8364558
8364557,きぬさら 日本のまっこり 2本セット （500ml x2本）,きぬさら,梅酒・果実酒,3300,3300,True,2026-02-18,2026-07-09,絹のような口どけ「きぬさら」日本のまっこり 500ml x 2本セット 初めての方にも飲みやすい、新感覚マッコリ,「きぬさら」の名前の通り、絹のように滑らかな喉ごしと口の中でさらりとほどける上品な後味が特徴の日本製マッコリです。乳酸菌由来のすっきりとした酸味で、従来のマッコリとは一線を画す洗練された味わい。マッコリが初めての方にも飲みやすく、大切な方への特別なギフトとしておすすめです。  500mlの1本あたり435億個の乳酸菌を含有しています（製造時・自社調べ）。この乳酸菌が醸し出す自然な酸味とまろやかな甘みのバランスが絶妙で、すっきりとした飲み心地を実現しました。着色料・保存料は一切使用せず、発酵由来の自然な風味をそのままお楽しみいただけます。  マッコリ研究の第一人者のもとで韓国にて4年間修行を積んだ日本人杜氏が、さらに5年の研究を重ねて完成させました。 静岡の清らかな水と愛知をはじめとした厳選国産米を使用し、本場の伝統技術を日本の素材と融合。 和食をはじめ様々なお料理との相性を追求した、こだわりの純国産マッコリです。すっきりとした酸味と微炭酸が、刺身、天ぷら、煮物などの和食はもちろん、韓国料理や中華料理とも好相性。幅広い料理シーンでお楽しみいただけます。 よく冷やしてから、開栓前にボトルを軽く上下に振ってお召し上がりください。,・名称：きぬさら 日本のまっこり ・種類：リキュール（発泡性①） ・原材料：米（国産米）・麦麹・米麹（国産）・甘味料（スクラロース）・炭酸ガス含有 ・内容量：500ml x 2本 ・アルコール度数：6度以上7度未満 ・保存方法：冷暗所保存 ・賞味期限：10ヶ月,True,https://mall.line.me/sb/d84e5e64/8364557
